team_abbreviation,season_year,n_players,n_malos,vara_value
ORL,2010,12,2,-0.46421296911595555
ORL,2011,16,2,-0.797966078451195
ORL,2012,14,2,-0.6556956387258259
ORL,2013,14,2,-0.6180879301880677
ORL,2014,15,2,-0.5174778617914065
ORL,2015,15,2,-0.6635887350223935
ORL,2016,18,2,-0.9015844121550081
ORL,2017,17,2,-0.5143273980493868
ORL,2018,17,2,-0.34178645342932273
ORL,2019,19,2,-0.6109226283719529
PHI,1996,15,2,-0.43195334230235527
PHI,1997,16,2,-0.39642346649448196
PHI,1998,16,2,-0.6753236747592091
PHI,1999,15,2,-0.5516120638459241
PHI,2000,16,2,-0.736259763230956
PHI,2001,19,2,-0.7631511932892703
PHI,2002,14,2,-0.45499001923460963
PHI,2003,14,2,-0.43030587100325784
PHI,2004,14,2,-0.5123928023691969
PHI,2005,16,2,-0.5173800012075221
PHI,2006,16,2,-0.45168704271570637
PHI,2007,13,2,-0.6454424165394724
PHI,2008,13,2,-0.7012220547845532
PHI,2009,14,2,-0.5493642292181833
PHI,2010,15,2,-0.8779692905110495
PHI,2011,16,2,-0.7104888712998407
PHI,2012,15,2,-0.5487036691039909
PHI,2013,18,2,-0.7133740422070395
PHI,2014,20,2,-0.5566308370869785
PHI,2015,14,2,-0.3956750335662254
PHI,2016,16,2,-0.32078058263952974
PHI,2017,19,2,-0.8244921755494318
PHI,2018,19,2,-0.4257168993079429
PHI,2019,17,2,-0.5498012832925887
PHX,1996,16,2,-0.49878413964200075
PHX,1997,13,2,-0.10124313184868766
PHX,1998,17,2,-0.5689086322614793
PHX,1999,17,2,-0.4893506465457273
PHX,2000,13,2,-0.36532951874232733
PHX,2001,15,2,-0.3133443955301345
PHX,2002,14,2,-0.5564728952467625
PHX,2003,12,2,-0.29656220667205396
PHX,2004,14,2,-0.5999511970762935
PHX,2005,16,2,-0.4482205719336426
PHX,2006,14,2,-0.5913006290154903
PHX,2007,13,2,-0.522683067354173
PHX,2008,14,2,-0.40405547973770994
PHX,2009,14,2,-0.8219939530727685
PHX,2010,14,2,-0.3009116325850969
PHX,2011,13,2,-0.31591417425434287
PHX,2012,15,2,-0.46113568191736326
PHX,2013,15,2,-0.43087303009822253
PHX,2014,17,2,-0.7227439902973873
PHX,2015,16,2,-0.4688263313234
PHX,2016,17,2,-0.5972363144265141
PHX,2017,18,2,-0.39990150511255074
PHX,2018,17,2,-0.597905482802272
PHX,2019,17,2,-0.7935016032733501
POR,1996,16,2,-0.36117106004374705
POR,1997,17,2,-0.7611396905572397
POR,1998,15,2,-0.38259917149208894
POR,1999,14,2,-0.28053205581996393
POR,2000,16,2,-0.34436332795691416
POR,2001,15,2,-0.44292326032580276
POR,2002,15,2,-0.574755496307019
POR,2003,19,2,-1.0426669242189535
POR,2004,16,2,-0.626095060449442
POR,2005,14,2,-0.42267115391605586
POR,2006,16,2,-0.5711688383316961
